C0001,"('C0137', 0.9994457904895733)","('C0121', 0.9965362177760971)","('C0152', 0.995593121405886)"
C0002,"('C0032', 0.9997639757352742)","('C0077', 0.9995846525879665)","('C0083', 0.9995505871471825)"
C0003,"('C0005', 0.9999178039528952)","('C0178', 0.9993126788222454)","('C0144', 0.9986957495852484)"
C0004,"('C0067', 0.99999826278984)","('C0021', 0.9996825062957394)","('C0075', 0.9995236451520084)"
C0005,"('C0003', 0.9999178039528952)","('C0073', 0.9992013516230509)","('C0063', 0.9988524757169495)"
C0006,"('C0079', 0.9999902789562277)","('C0040', 0.9991900806850249)","('C0117', 0.9991011906492602)"
C0007,"('C0140', 0.9999982823977012)","('C0085', 0.9998528154261304)","('C0080', 0.9994577496307513)"
C0008,"('C0084', 0.9996460808139591)","('C0090', 0.9996425245587794)","('C0124', 0.9951066061086957)"
C0009,"('C0199', 0.9999605023264329)","('C0077', 0.9997814252581888)","('C0031', 0.9997143105315276)"
C0010,"('C0029', 0.9996771803172975)","('C0083', 0.9996131531875924)","('C0032', 0.9993495233646331)"
C0011,"('C0183', 0.9999081856021443)","('C0048', 0.9999074058265338)","('C0016', 0.9998817696356485)"
C0012,"('C0136', 0.9999872723213263)","('C0102', 0.9994865828637179)","('C0155', 0.9960970971101717)"
C0013,"('C0045', 0.9999625930999116)","('C0143', 0.9998413411816238)","('C0022', 0.999668370942691)"
C0014,"('C0128', 0.9991714103910624)","('C0166', 0.999122092777211)","('C0071', 0.996299931310321)"
C0015,"('C0132', 0.999952376780833)","('C0035', 0.9995355796673072)","('C0036', 0.9988965922645079)"
C0016,"('C0048', 0.9999984354373498)","('C0183', 0.9999983322102158)","('C0064', 0.9999634371698307)"
C0017,"('C0109', 0.9999984235397766)","('C0162', 0.9998481752844377)","('C0113', 0.9997796152780779)"
C0018,"('C0200', 0.9999999841416186)","('C0170', 0.9999994848086763)","('C0182', 0.9999991493871718)"
C0019,"('C0172', 0.9999970404841785)","('C0116', 0.9930131905783608)","('C0034', 0.9745410850727869)"
C0020,"('C0042', 0.999847288266227)","('C0125', 0.9996187666747894)","('C0193', 0.9994279533485138)"
